" Label Encoded Veri (Tüm Satırlar ve Sütunlar):\n",
            "     school  sex   age  address  famsize  Pstatus      Medu  Fedu  Mjob  Fjob  reason  guardian  traveltime  studytime  failures  schoolsup  famsup  paid  activities  nursery  higher  internet  romantic    famrel  freetime     goout      Dalc      Walc   health   absences         G1        G2         G3\n",
            "26        0    1  15.0        1        0        1  2.000000   2.0     2     2       1         1         1.0        1.0       0.0          0       1     1           0        1       1         1         0  4.000000  2.000000  2.000000  1.000000  2.000000  5.00000   2.000000  12.000000  12.00000  11.000000\n",
            "27        0    1  15.0        1        0        1  4.000000   2.0     1     3       2         1         1.0        1.0       0.0          0       0     1           0        1       1         1         0  2.000000  2.000000  4.000000  2.000000  4.000000  1.00000   5.742347  15.000000  16.00000  15.000000\n",
            "28        0    1  16.0        1        1        0  3.000000   4.0     3     2       1         1         1.0        2.0       0.0          1       1     0           1        1       1         1         0  5.000000  3.000000  3.000000  1.000000  1.000000  5.00000   4.000000  11.000000  11.00000  11.000000\n",
            "29        0    1  16.0        1        0        1  4.000000   4.0     4     4       1         1         1.0        2.0       0.0          0       1     1           1        1       1         1         1  4.000000  4.000000  5.000000  5.000000  5.000000  5.00000  16.000000  10.000000  12.00000  11.000000\n",
            "30        0    1  15.0        1        0        1  4.000000   4.0     1     3       1         1         1.0        2.0       0.0          0       1     1           0        0       1         1         0  5.000000  4.000000  2.000000  3.000000  4.000000  5.00000   0.000000   9.000000  11.00000  12.000000\n",
            "31        0    1  15.0        1        0        1  4.000000   4.0     3     3       3         1         2.0        2.0       0.0          0       1     0           1        1       1         1         0  4.000000  3.000000  1.000000  1.000000  1.000000  5.00000   0.000000  17.000000  16.00000  17.000000\n",
            "32        0    1  15.0        0        0        1  4.000000   3.0     4     0       0         1         1.0        2.0       0.0          0       1     0           1        1       1         1         1  4.000000  5.000000  2.000000  1.000000  1.000000  5.00000   0.000000  17.000000  16.00000  16.000000\n",
            "33        0    1  15.0        1        1        1  3.000000   3.0     2     2       0         1         1.0        2.0       0.0          0       0     0           1        0       1         1         0  5.000000  3.000000  2.000000  1.000000  1.000000  2.00000   0.000000   8.000000  10.00000  12.000000\n",
            "34        0    1  16.0        1        0        1  3.000000   2.0     2     2       1         1         1.0        1.0       0.0          0       1     1           0        0       1         1         0  5.000000  4.000000  3.000000  1.000000  1.000000  5.00000   0.000000  12.000000  14.00000  15.000000\n",
            "35        0    0  15.0        1        0        1  2.000000   3.0     2     2       2         0         2.0        1.0       0.0          0       1     0           1        1       1         0         0  3.000000  5.000000  1.000000  1.000000  1.000000  5.00000   0.000000   8.000000   7.00000   6.000000\n",
            "36        0    1  15.0        1        1        1  4.000000   3.0     4     3       1         1         1.0        3.0       0.0          0       1     0           1        1       1         1         0  5.000000  4.000000  3.000000  1.000000  1.000000  4.00000   2.000000  15.000000  16.00000  18.000000\n",
            "37        0    1  16.0        0        0        0  4.000000   4.0     2     4       3         1         2.0        3.0       0.0          0       1     0           1        1       1         1         1  2.000000  4.000000  3.000000  1.000000  1.000000  5.00000   7.000000  15.000000  16.00000  15.000000\n",
            "38        0    0  15.0        0        0        1  3.000000   4.0     3     1       0         1         1.0        3.0       0.0          1       1     1           1        1       1         1         0  4.000000  3.000000  2.000000  1.000000  1.000000  5.00000   2.000000  12.000000  12.00000  11.000000\n",
            "39        0    0  15.0        0        0        1  2.000000   2.0     0     2       3         1         1.0        1.0       0.0          1       1     1           1        1       1         0         0  4.000000  3.000000  1.000000  1.476923  1.000000  2.00000   8.000000  14.000000  13.00000  13.000000\n",
            "40        0    0  16.0        1        1        1  2.000000   2.0     2     2       1         1         2.0        2.0       1.0          0       1     0           1        0       1         1         1  3.000000  3.000000  3.000000  1.000000  2.000000  3.00000  25.000000   7.000000  10.00000  11.000000\n",
            "41        0    1  15.0        1        1        1  4.000000   4.0     4     2       1         2         1.0        1.0       0.0          0       1     0           0        0       1         1         1  5.000000  4.000000  3.000000  2.000000  4.000000  5.00000   8.000000  12.000000  12.00000  12.000000\n",
            "42        0    1  15.0        1        0        1  4.000000   4.0     3     4       0         0         1.0        2.0       0.0          0       1     0           1        1       1         1         0  4.000000  3.000000  3.000000  1.000000  1.000000  5.00000   2.000000  19.000000  18.00000  18.000000\n",
            "43        0    1  15.0        1        0        1  2.000000   2.0     3     3       0         0         1.0        1.0       0.0          1       1     0           0        1       1         1         0  5.000000  4.000000  1.000000  1.000000  1.000000  1.00000   0.000000   8.000000   8.00000  11.000000\n",
            "44        0    0  16.0        1        1        1  2.000000   2.0     2     0       0         0         2.0        2.0       1.0          1       0     0           1        1       1         1         0  4.000000  3.000000  3.000000  2.000000  2.000000  5.00000  14.000000  10.000000  10.00000   9.000000\n",
            "45        0    0  15.0        1        1        0  4.000000   3.0     2     2       0         1         1.0        2.0       0.0          1       1     1           1        1       1         1         1  5.000000  2.000000  2.000000  1.000000  1.000000  5.00000   8.000000   8.000000   8.00000   6.000000\n",
            "46        0    0  16.0        1        1        0  3.000000   3.0     2     3       1         1         1.0        2.0       0.0          0       1     0           0        1       1         1         0  2.000000  3.000000  5.000000  1.000000  4.000000  3.00000  12.000000  11.000000  12.00000  11.000000\n",
            "47        0    1  16.0        1        0        1  4.000000   3.0     1     3       3         1         1.0        4.0       0.0          0       0     0           1        1       1         1         0  4.000000  2.000000  2.000000  1.000000  1.000000  2.00000   4.000000  19.000000  19.00000  20.000000\n",
            "48        0    1  15.0        1        0        1  4.000000   2.0     4     2       1         1         1.0        2.0       0.0          0       1     1           0        1       1         0         0  4.000000  3.000000  3.000000  2.000000  2.000000  5.00000   2.000000  15.000000  15.00000  14.000000\n",
            "49        0    0  15.0        1        0        1  4.000000   4.0     3     4       2         0         1.0        2.0       1.0          1       1     0           1        0       1         1         0  4.000000  4.000000  4.000000  1.000000  1.000000  3.00000   2.000000   7.000000   7.00000   7.000000\n",
            "50        0    0  16.0        1        1        1  2.000000   2.0     3     3       0         1         3.0        2.0       0.0          0       1     1           0        1       1         1         0  4.000000  3.000000  3.000000  2.000000  2.294872  4.00000   2.000000  12.000000  13.00000  13.000000\n",
            "51        0    0  15.0        1        1        1  4.000000   2.0     1     2       2         1         1.0        2.0       0.0          0       1     1           0        1       1         1         0  4.000000  3.000000  3.000000  1.000000  1.000000  5.00000   2.000000  11.000000  13.00000  13.000000\n",
            "52        0    1  15.0        1        1        0  4.000000   2.0     1     1       2         0         2.0        1.0       1.0          0       0     0           0        1       1         0         0  5.000000  5.000000  5.000000  3.000000  4.000000  5.00000   6.000000  11.000000  11.00000  10.000000\n",
            "53        0    0  15.0        1        0        1  4.000000   4.0     3     3       0         1         1.0        1.0       0.0          1       1     1           0        1       1         1         0  3.000000  3.000000  4.000000  2.000000  3.000000  5.00000   0.000000   8.000000  10.00000  11.000000\n",
            "54        0    0  15.0        1        1        0  3.000000   3.0     2     2       2         1         1.0        1.0       0.0          0       0     1           0        1       1         1         0  5.000000  3.000000  4.000000  4.000000  4.000000  1.00000   6.000000  10.000000  13.00000  13.000000\n",
            "55        0    0  16.0        1        0        0  2.000000   1.0     2     2       2         1         1.0        2.0       0.0          0       0     1           1        1       1         1         1  5.000000  3.000000  4.000000  1.000000  1.000000  2.00000   8.000000   8.000000   9.00000  10.000000\n",
            "56        0    0  15.0        1        0        0  4.000000   3.0     3     3       3         1         1.0        2.0       0.0          0       1     1           1        1       1         1         0  4.000000  3.000000  2.000000  1.000000  1.000000  1.00000   0.000000  14.000000  15.00000  15.000000\n",
            "57        0    1  15.0        1        0        1  4.000000   4.0     4     1       3         1         1.0        2.0       0.0          0       1     0           1        1       1         0         0  3.000000  2.000000  2.000000  1.000000  1.000000  5.00000   4.000000  14.000000  15.00000  15.000000\n",
            "58        0    1  15.0        1        1        1  1.000000   2.0     2     0       1         0         1.0        2.0       0.0          1       1     0           1        1       1         1         0  4.000000  3.000000  2.000000  1.000000  1.000000  5.00000   2.000000   9.000000  10.00000   9.000000\n",
            "59        0    0  16.0        1        0        1  4.000000   2.0     3     2       0         1         1.0        2.0       0.0          0       1     0           0        1       1         1         0  4.000000  2.000000  3.000000  1.000000  1.000000  5.00000   2.000000  15.000000  16.00000  16.000000\n",
            "60        0    0  16.0        0        0        1  4.000000   4.0     1     4       2         1         1.0        2.0       0.0          0       1     0           1        1       1         0         0  2.000000  4.000000  4.000000  2.000000  3.000000  4.00000   6.000000  10.000000  11.00000  11.000000\n",
            "61        0    0  16.0        1        0        1  1.000000   1.0     3     3       0         0         4.0        1.0       0.0          1       1     0           1        0       1         1         1  5.000000  5.000000  5.000000  1.476923  5.000000  5.00000   6.000000  10.000000   8.00000  11.000000\n",
            "62        0    0  16.0        1        1        1  1.000000   2.0     2     3       3         0         1.0        2.0       0.0          1       0     0           1        1       1         1         0  4.000000  4.000000  3.000000  1.000000  1.000000  1.00000   4.000000   8.000000  10.00000   9.000000\n",
            "63        0    0  16.0        1        0        1  4.000000   3.0     4     1       1         1         1.0        3.0       0.0          1       1     1           1        1       1         1         0  3.000000  4.000000  4.000000  2.000000  4.000000  4.00000   2.000000  10.000000   9.00000   9.000000\n",
            "64        0    0  15.0        1        1        1  4.000000   3.0     3     3       3         0         1.0        2.0       0.0          1       0     0           1        1       1         1         1  4.000000  4.000000  4.000000  2.000000  4.000000  2.00000   0.000000  10.000000  10.00000  10.000000\n",
            "65        0    0  16.0        1        1        1  4.000000   3.0     4     3       0         1         3.0        2.0       0.0          0       1     0           1        1       1         1         0  5.000000  4.000000  3.000000  1.000000  2.000000  1.00000   2.000000  16.000000  15.00000  15.000000\n",
            "66        0    1  15.0        1        0        0  4.000000   4.0     2     3       3         1         1.0        4.0       0.0          0       1     0           1        0       1         1         1  1.000000  3.000000  3.000000  5.000000  5.000000  3.00000   4.000000  13.000000  13.00000  12.000000\n",
            "67        0    0  16.0        1        0        1  3.000000   1.0     3     2       0         1         1.0        4.0       0.0          1       1     1           0        1       1         1         0  4.000000  3.000000  3.000000  1.000000  2.000000  5.00000   4.000000   7.000000   7.00000   6.000000\n",
            "68        0    0  15.0        0        1        1  2.000000   2.0     1     3       3         1         2.0        2.0       0.0          1       1     1           0        1       1         1         0  4.000000  1.000000  3.000000  1.000000  3.000000  4.00000   2.000000   8.000000   9.00000   8.000000\n",
            "69        0    0  15.0        0        1        1  3.000000   1.0     2     2       3         0         2.0        4.0       0.0          0       1     0           0        0       1         1         0  4.000000  4.000000  2.000000  2.000000  3.000000  3.00000  12.000000  16.000000  16.00000  16.000000\n",
            "70        0    1  16.0        1        0        1  3.000000   1.0     2     2       3         0         2.0        4.0       0.0          0       1     1           0        1       1         1         0  4.000000  3.000000  2.000000  1.000000  1.000000  5.00000   0.000000  13.000000  15.00000  15.000000\n",
            "71        0    1  15.0        1        0        1  4.000000   2.0     2     2       0         1         1.0        4.0       0.0          0       0     0           0        1       1         1         0  3.000000  3.000000  3.000000  1.000000  1.000000  3.00000   0.000000  10.000000  10.00000  10.000000\n",
            "72        0    0  15.0        0        0        1  1.000000   1.0     2     2       3         1         1.0        2.0       2.0          1       1     0           0        0       1         1         1  3.000000  3.000000  4.000000  2.000000  4.000000  5.00000   2.000000   8.000000   6.00000   5.000000\n",
            "73        0    1  16.0        1        0        1  3.000000   1.0     2     2       3         1         1.0        1.0       0.0          0       0     0           1        1       1         0         0  5.000000  3.000000  2.000000  2.000000  2.000000  3.56701   2.000000  12.000000  12.00000  14.000000\n",
            "74        0    0  16.0        1        0        1  3.000000   3.0     2     3       1         1         1.0        2.0       0.0          1       1     1           1        1       1         1         0  4.000000  3.000000  3.000000  2.000000  4.000000  5.00000  54.000000  11.000000  12.00000  11.000000\n",
            "75        0    1  15.0        1        0        1  4.000000   3.0     4     2       1         1         1.0        2.0       0.0          0       1     1           1        1       1         1         0  4.000000  3.000000  3.000000  2.000000  3.000000  5.00000   6.000000   9.000000   9.00000  10.000000\n",
            "76        0    1  15.0        1        0        1  4.000000   0.0     4     2       0         1         2.0        4.0       0.0          0       0     0           1        1       1         1         0  3.000000  4.000000  3.000000  1.000000  1.000000  1.00000   8.000000  11.000000  11.00000  10.000000\n",
            "77        0    0  16.0        1        0        1  2.000000   2.0     2     2       3         1         1.0        4.0       0.0          0       0     1           0        1       1         1         1  5.000000  2.000000  3.000000  1.000000  3.000000  3.00000   0.000000  11.000000  11.00000  11.000000\n",
            "78        0    1  17.0        1        0        1  2.000000   1.0     2     2       1         1         2.0        1.0       3.0          1       1     0           1        1       0         1         0  4.000000  5.000000  1.000000  1.000000  1.000000  3.00000   2.000000   8.000000   8.00000  10.000000\n",
            "79        0    0  16.0        1        0        1  3.000000   4.0     0     2       0         1         1.0        2.0       0.0          0       1     0           0        1       1         1         0  2.000000  4.000000  3.000000  1.000000  2.000000  3.00000  12.000000   5.000000   5.00000   5.000000\n",
            "80        0    1  15.0        1        0        1  2.000000   3.0     2     3       0         0         1.0        1.0       0.0          1       1     1           1        0       1         1         1  3.000000  2.000000  2.000000  1.000000  3.000000  3.00000   2.000000  10.000000  12.00000  12.000000\n",
            "81        0    1  15.0        1        0        1  2.000000   3.0     2     2       1         1         1.0        3.0       0.0          1       0     1           0        0       1         1         0  5.000000  3.000000  2.000000  1.000000  2.000000  5.00000   4.000000  11.000000  10.00000  11.000000\n",
            "82        0    0  15.0        1        1        1  3.000000   2.0     3     2       3         1         1.0        2.0       0.0          0       1     1           0        1       1         1         0  4.000000  4.000000  4.000000  1.000000  1.000000  5.00000  10.000000   7.000000   6.00000   6.000000\n",
            "83        0    1  15.0        1        1        1  2.000000   2.0     3     3       1         1         2.0        2.0       0.0          0       0     1           1        1       1         1         0  5.000000  3.000000  3.000000  1.000000  3.000000  4.00000   4.000000  15.000000  15.00000  15.000000\n",
            "84        0    0  15.0        1        0        1  1.000000   1.0     2     2       1         0         1.0        2.0       0.0          0       1     0           1        0       1         1         0  4.000000  3.000000  2.000000  2.000000  3.000000  4.00000   2.000000   9.000000  10.00000  10.000000\n",
            "85        0    0  15.0        1        0        1  4.000000   4.0     3     3       3         0         2.0        2.0       2.0          0       0     1           0        1       1         1         1  4.000000  3.233503  4.000000  2.000000  3.000000  5.00000   6.000000   7.000000   9.00000   8.000000\n",
            "86        0    0  16.0        1        1        1  2.000000   2.0     0     2       0         1         1.0        2.0       0.0          0       1     0           0        1       1         0         0  4.000000  3.000000  4.000000  1.000000  2.000000  2.00000   4.000000   8.000000   7.00000   6.000000\n",
            "87        0    0  15.0        1        0        1  4.000000   2.0     2     2       3         1         1.0        3.0       0.0          0       1     0           1        1       1         1         0  5.000000  3.000000  3.000000  1.000000  3.000000  1.00000   4.000000  13.000000  14.00000  14.000000\n",
            "88        0    1  16.0        1        0        1  2.000000   2.0     3     2       3         0         2.0        2.0       1.0          0       0     1           1        0       1         1         0  4.000000  4.000000  2.000000  1.000000  1.000000  3.00000  12.000000  11.000000  10.00000  10.000000\n",
            "89        0    1  16.0        1        1        0  4.000000   4.0     4     1       3         1         1.0        2.0       0.0          0       1     0           0        1       1         0         0  4.000000  1.000000  3.000000  3.000000  5.000000  5.00000  18.000000   8.000000   6.00000   7.000000\n",
            "90        0    0  16.0        1        0        1  3.000000   3.0     2     2       1         1         1.0        3.0       0.0          0       1     1           0        1       1         1         1  4.000000  3.000000  3.000000  1.000000  3.000000  4.00000   0.000000   7.000000   7.00000   8.000000\n",
            "91        0    0  15.0        1        0        1  4.000000   3.0     3     2       3         1         1.0        1.0       0.0          0       0     1           1        1       1         1         0  4.000000  5.000000  5.000000  1.000000  3.000000  1.00000   4.000000  16.000000  17.00000  18.000000\n",
            "92        0    0  16.0        1        1        1  3.000000   1.0     2     2       1         0         1.0        2.0       0.0          1       1     0           0        1       1         0         0  3.000000  3.000000  3.000000  2.000000  3.000000  2.00000   4.000000  10.894872   6.00000   6.000000\n",
            "93        0    0  16.0        1        0        1  4.000000   2.0     4     3       1         1         2.0        2.0       0.0          0       1     1           1        1       1         1         0  5.000000  3.000000  3.000000  1.000000  1.000000  1.00000   0.000000  11.000000  10.00000  10.000000\n",
            "94        0    1  15.0        1        1        1  2.000000   2.0     3     1       3         1         1.0        4.0       0.0          0       1     0           1        1       1         1         0  4.000000  3.000000  4.000000  1.000000  1.000000  4.00000   6.000000  11.000000  13.00000  14.000000\n",
            "95        0    0  15.0        0        0        1  1.000000   1.0     0     2       1         1         2.0        4.0       1.0          1       1     1           1        1       1         1         0  3.000000  1.000000  2.000000  1.000000  1.000000  1.00000   2.000000   7.000000  10.00000  10.000000\n",
            "96        0    1  16.0        0        0        1  4.000000   3.0     3     2       3         1         2.0        1.0       0.0          1       1     0           1        0       1         1         0  3.000000  3.000000  3.000000  1.000000  1.000000  4.00000   2.000000  11.000000  15.00000  15.000000\n",
            "97        0    0  16.0        1        0        1  2.000000   1.0     2     2       0         1         1.0        2.0       0.0          0       1     1           0        1       1         0         1  4.000000  3.000000  5.000000  1.000000  1.000000  5.00000   2.000000   8.000000   9.00000  10.000000\n",
            "98        0    0  16.0        1        0        1  4.000000   4.0     2     2       3         1         1.0        1.0       0.0          0       0     0           1        0       1         1         0  5.000000  3.000000  4.000000  1.000000  2.000000  1.00000   6.000000  11.000000  14.00000  14.000000\n",
            "99        0    0  16.0        1        0        1  4.000000   3.0     2     0       0         1         1.0        3.0       0.0          1       1     1           0        1       1         1         0  5.000000  3.000000  5.000000  1.000000  1.000000  3.56701   0.000000   7.000000   9.00000   8.000000\n",
            "100       0    1  16.0        1        0        1  4.000000   4.0     3     3       2         1         1.0        1.0       0.0          1       1     1           1        1       1         1         0  4.000000  5.000000  5.000000  5.000000  5.000000  4.00000  14.000000   7.000000   7.00000   5.000000\n",
            "101       0    1  16.0        1        0        1  4.000000   4.0     3     4       2         0         1.0        3.0       0.0          0       1     0           1        1       1         1         1  4.000000  4.000000  3.000000  1.000000  1.000000  4.00000   0.000000  16.000000  17.00000  17.000000\n",
            "102       0    1  15.0        1        0        1  4.000000   4.0     3     2       0         1         1.0        1.0       0.0          0       1     0           1        0       1         1         0  5.000000  3.000000  3.000000  1.000000  1.000000  5.00000   4.000000  10.000000  13.00000  14.000000\n",
            "103       0    0  15.0        1        0        1  3.000000   2.0     3     2       1         1         2.0        2.0       0.0          1       1     1           0        1       1         1         0  4.000000  3.000000  5.000000  1.000000  1.000000  2.00000  26.000000   7.000000   6.00000   6.000000\n",
            "104       0    1  15.0        1        0        0  3.000000   4.0     3     2       0         1         1.0        2.0       0.0          0       1     1           1        1       1         1         0  5.000000  4.000000  4.000000  1.000000  1.000000  1.00000   0.000000  16.000000  18.00000  18.000000\n",
            "105       0    0  15.0        1        0        0  3.000000   3.0     2     1       3         0         1.0        4.0       0.0          1       0     0           0        1       1         0         0  4.000000  3.000000  3.000000  1.000000  1.000000  3.56701  10.000000  10.000000  11.00000  11.000000\n",
            "106       0    0  15.0        1        0        1  2.000000   2.0     2     2       0         1         1.0        4.0       0.0          1       1     1           0        1       1         1         0  5.000000  1.000000  2.000000  1.000000  1.000000  3.00000   8.000000   7.000000   8.00000   8.000000\n",
            "107       0    1  16.0        1        0        1  3.000000   3.0     3     2       1         0         1.0        3.0       0.0          0       1     0           1        1       1         1         0  5.000000  3.000000  3.000000  1.000000  1.000000  5.00000   2.000000  16.000000  18.00000  18.000000\n",
            "108       0    1  15.0        0        0        1  4.000000   4.0     2     2       1         0         4.0        4.0       0.0          0       1     1           1        1       1         1         1  1.000000  3.000000  5.000000  3.000000  5.000000  1.00000   6.000000  10.000000  13.00000  13.000000\n",
            "109       0    0  16.0        1        1        1  4.000000   4.0     1     1       2         1         1.0        3.0       0.0          0       1     1           1        1       1         1         1  5.000000  4.000000  5.000000  1.000000  1.000000  4.00000   4.000000  14.000000  15.00000  16.000000\n",
            "110       0    1  15.0        1        1        0  4.000000   4.0     4     4       0         1         1.0        1.0       0.0          0       0     0           1        1       1         1         0  5.000000  5.000000  3.000000  1.000000  1.000000  4.00000   6.000000  18.000000  19.00000  19.000000\n",
            "111       0    0  16.0        0        0        1  3.000000   3.0     3     2       3         0         1.0        3.0       1.0          1       1     0           1        1       1         1         0  4.000000  1.000000  2.000000  1.000000  1.000000  2.00000   0.000000   7.000000  10.00000  10.000000\n",
            "112       0    0  16.0        1        0        1  2.000000   2.0     0     2       1         1         1.0        2.0       1.0          1       0     0           1        1       1         1         0  3.000000  1.000000  2.000000  1.000000  1.000000  5.00000   6.000000  10.000000  13.00000  13.000000\n",
            "113       0    1  15.0        1        1        1  4.000000   2.0     4     2       0         1         1.0        1.0       0.0          0       0     0           0        1       1         1         0  3.000000  5.000000  2.000000  1.000000  1.000000  3.00000  10.000000  18.000000  19.00000  19.000000\n",
            "114       0    1  15.0        0        0        1  2.000000   1.0     1     3       3         1         1.0        2.0       0.0          0       0     0           1        1       1         1         1  5.000000  4.000000  2.000000  1.476923  1.000000  5.00000   8.000000   9.000000   9.00000   9.000000\n",
            "115       0    1  16.0        1        0        1  4.000000   4.0     4     4       0         0         1.0        2.0       0.0          0       1     0           1        1       1         1         0  5.000000  4.000000  4.000000  1.000000  2.000000  5.00000   2.000000  15.000000  15.00000  16.000000\n",
            "116       0    1  15.0        1        0        1  4.000000   4.0     2     4       3         0         2.0        2.0       0.0          0       1     0           1        1       1         0         0  4.000000  4.000000  3.000000  1.000000  1.000000  2.00000   2.000000  11.000000  13.00000  14.000000\n",
