 " One-Hot Encoded Veri (Tüm Satırlar ve Sütunlar):\n",
            "      age      Medu  Fedu  traveltime  studytime  failures    famrel  freetime     goout      Dalc      Walc   health   absences         G1        G2         G3  school_GP  school_MS  sex_F  sex_M  address_R  address_U  famsize_GT3  famsize_LE3  Pstatus_A  Pstatus_T  Mjob_at_home  Mjob_health  Mjob_other  Mjob_services  Mjob_teacher  Fjob_at_home  Fjob_health  Fjob_other  Fjob_services  Fjob_teacher  reason_course  reason_home  reason_other  reason_reputation  guardian_father  guardian_mother  guardian_other  schoolsup_no  schoolsup_yes  famsup_no  famsup_yes  paid_no  paid_yes  activities_no  activities_yes  nursery_no  nursery_yes  higher_no  higher_yes  internet_no  internet_yes  romantic_no  romantic_yes\n",
            "10   15.0  4.000000   4.0         1.0        2.0       0.0  3.000000  3.000000  3.000000  1.000000  2.000000  2.00000   0.000000  10.000000   8.00000   9.000000       True      False   True  False      False       True         True        False      False       True         False        False       False          False          True         False         True       False          False         False          False        False         False               True            False             True           False          True          False      False        True    False      True           True           False       False         True      False        True        False          True         True         False\n",
            "11   15.0  2.000000   1.0         3.0        3.0       0.0  5.000000  2.000000  2.000000  1.000000  1.000000  4.00000   4.000000  10.000000  12.00000  12.000000       True      False   True  False      False       True         True        False      False       True         False        False       False           True         False         False        False        True          False         False          False        False         False               True             True            False           False          True          False      False        True     True     False          False            True       False         True      False        True        False          True         True         False\n",
            "12   15.0  4.000000   4.0         1.0        1.0       0.0  4.000000  3.000000  3.000000  1.000000  3.000000  5.00000   2.000000  14.000000  14.00000  14.000000       True      False  False   True      False       True        False         True      False       True         False         True       False          False         False         False        False       False           True         False           True        False         False              False             True            False           False          True          False      False        True    False      True          False            True       False         True      False        True        False          True         True         False\n",
            "13   15.0  4.000000   3.0         2.0        2.0       0.0  5.000000  4.000000  3.000000  1.000000  2.294872  3.00000   2.000000  10.000000  10.00000  11.000000       True      False  False   True      False       True         True        False      False       True         False        False       False          False          True         False        False        True          False         False           True        False         False              False            False             True           False          True          False      False        True    False      True           True           False       False         True      False        True        False          True         True         False\n",
            "14   15.0  2.000000   2.0         1.0        3.0       0.0  4.000000  5.000000  2.000000  1.000000  1.000000  3.00000   0.000000  14.000000  16.00000  16.000000       True      False  False   True      False       True         True        False       True      False         False        False        True          False         False         False        False        True          False         False          False         True         False              False            False            False            True          True          False      False        True     True     False           True           False       False         True      False        True        False          True        False          True\n",
            "15   16.0  4.000000   4.0         1.0        1.0       0.0  4.000000  4.000000  4.000000  1.000000  2.000000  2.00000   4.000000  14.000000  14.00000  14.000000       True      False   True  False      False       True         True        False      False       True         False         True       False          False         False         False        False        True          False         False          False         True         False              False            False             True           False          True          False      False        True     True     False           True           False       False         True      False        True        False          True         True         False\n",
            "16   16.0  4.000000   4.0         1.0        3.0       0.0  3.000000  2.000000  3.000000  1.000000  2.000000  2.00000   6.000000  13.000000  14.00000  14.000000       True      False   True  False      False       True         True        False      False       True         False        False       False           True         False         False        False       False           True         False          False        False         False               True            False             True           False          True          False      False        True    False      True          False            True       False         True      False        True        False          True         True         False\n",
            "17   16.0  3.000000   3.0         3.0        2.0       0.0  5.000000  3.000000  2.000000  1.000000  1.000000  4.00000   4.000000   8.000000  10.00000  10.000000       True      False   True  False      False       True         True        False      False       True         False        False        True          False         False         False        False        True          False         False          False        False         False               True            False             True           False         False           True      False        True     True     False          False            True       False         True      False        True         True         False         True         False\n",
            "18   17.0  3.000000   2.0         1.0        1.0       3.0  5.000000  5.000000  3.104061  2.000000  4.000000  5.00000  16.000000   6.000000   5.00000   5.000000       True      False  False   True      False       True         True        False      False       True         False        False       False           True         False         False        False       False           True         False           True        False         False              False            False             True           False          True          False      False        True     True     False          False            True       False         True      False        True        False          True         True         False\n",
            "19   16.0  4.000000   3.0         1.0        1.0       0.0  3.000000  1.000000  3.000000  1.000000  3.000000  5.00000   4.000000   8.000000  10.00000  10.000000       True      False  False   True      False       True        False         True      False       True         False         True       False          False         False         False        False        True          False         False          False         True         False              False             True            False           False          True          False       True       False    False      True          False            True       False         True      False        True        False          True         True         False\n",
            "20   15.0  4.000000   3.0         1.0        2.0       0.0  4.000000  4.000000  1.000000  1.000000  1.000000  1.00000   0.000000  13.000000  14.00000  15.000000       True      False   True  False      False       True         True        False      False       True         False        False       False          False          True         False        False        True          False         False          False        False         False               True            False             True           False          True          False       True       False     True     False           True           False       False         True      False        True        False          True         True         False\n",
            "21   15.0  4.000000   4.0         1.0        1.0       0.0  5.000000  4.000000  2.000000  1.000000  1.000000  5.00000   0.000000  12.000000  15.00000  15.000000       True      False  False   True      False       True         True        False      False       True         False         True       False          False         False         False         True       False          False         False          False        False          True              False             True            False           False          True          False      False        True    False      True           True           False       False         True      False        True        False          True         True         False\n",
            "22   16.0  4.000000   2.0         1.0        2.0       0.0  4.000000  5.000000  1.000000  1.000000  3.000000  5.00000   2.000000  15.000000  15.00000  16.000000       True      False  False   True      False       True        False         True      False       True         False        False       False          False          True         False        False        True          False         False           True        False         False              False            False             True           False          True          False       True       False     True     False          False            True       False         True      False        True        False          True         True         False\n",
            "23   16.0  2.000000   2.0         2.0        2.0       0.0  5.000000  4.000000  4.000000  2.000000  4.000000  5.00000   0.000000  13.000000  13.00000  12.000000       True      False  False   True      False       True        False         True      False       True         False        False        True          False         False         False        False        True          False         False          False        False         False               True            False             True           False          True          False      False        True     True     False          False            True       False         True      False        True        False          True         True         False\n",
            "24   15.0  2.000000   4.0         1.0        3.0       0.0  4.000000  3.000000  2.000000  1.000000  1.000000  5.00000   2.000000  10.000000   9.00000   8.000000       True      False   True  False       True      False         True        False      False       True         False        False       False           True         False         False         True       False          False         False           True        False         False              False            False             True           False         False           True      False        True    False      True          False            True       False         True      False        True        False          True         True         False\n",
            "25   16.0  2.000000   2.0         1.0        1.0       2.0  1.000000  2.000000  2.000000  1.000000  3.000000  5.00000  14.000000   6.000000   9.00000   8.000000       True      False   True  False      False       True         True        False      False       True         False        False       False           True         False         False        False       False           True         False          False         True         False              False            False             True           False          True          False      False        True    False      True           True           False        True        False      False        True        False          True         True         False\n",
            "26   15.0  2.000000   2.0         1.0        1.0       0.0  4.000000  2.000000  2.000000  1.000000  2.000000  5.00000   2.000000  12.000000  12.00000  11.000000       True      False  False   True      False       True         True        False      False       True         False        False        True          False         False         False        False        True          False         False          False         True         False              False            False             True           False          True          False      False        True    False      True           True           False       False         True      False        True        False          True         True         False\n",
            "27   15.0  4.000000   2.0         1.0        1.0       0.0  2.000000  2.000000  4.000000  2.000000  4.000000  1.00000   5.742347  15.000000  16.00000  15.000000       True      False  False   True      False       True         True        False      False       True         False         True       False          False         False         False        False       False           True         False          False        False          True              False            False             True           False          True          False       True       False    False      True           True           False       False         True      False        True        False          True         True         False\n",
            "28   16.0  3.000000   4.0         1.0        2.0       0.0  5.000000  3.000000  3.000000  1.000000  1.000000  5.00000   4.000000  11.000000  11.00000  11.000000       True      False  False   True      False       True        False         True       True      False         False        False       False           True         False         False        False        True          False         False          False         True         False              False            False             True           False         False           True      False        True     True     False          False            True       False         True      False        True        False          True         True         False\n",
            "29   16.0  4.000000   4.0         1.0        2.0       0.0  4.000000  4.000000  5.000000  5.000000  5.000000  5.00000  16.000000  10.000000  12.00000  11.000000       True      False  False   True      False       True         True        False      False       True         False        False       False          False          True         False        False       False          False          True          False         True         False              False            False             True           False          True          False      False        True    False      True          False            True       False         True      False        True        False          True        False          True\n",
            "30   15.0  4.000000   4.0         1.0        2.0       0.0  5.000000  4.000000  2.000000  3.000000  4.000000  5.00000   0.000000   9.000000  11.00000  12.000000       True      False  False   True      False       True         True        False      False       True         False         True       False          False         False         False        False       False           True         False          False         True         False              False            False             True           False          True          False      False        True    False      True           True           False        True        False      False        True        False          True         True         False\n",
            "31   15.0  4.000000   4.0         2.0        2.0       0.0  4.000000  3.000000  1.000000  1.000000  1.000000  5.00000   0.000000  17.000000  16.00000  17.000000       True      False  False   True      False       True         True        False      False       True         False        False       False           True         False         False        False       False           True         False          False        False         False               True            False             True           False          True          False      False        True     True     False          False            True       False         True      False        True        False          True         True         False\n",
            "32   15.0  4.000000   3.0         1.0        2.0       0.0  4.000000  5.000000  2.000000  1.000000  1.000000  5.00000   0.000000  17.000000  16.00000  16.000000       True      False  False   True       True      False         True        False      False       True         False        False       False          False          True          True        False       False          False         False           True        False         False              False            False             True           False          True          False      False        True     True     False          False            True       False         True      False        True        False          True        False          True\n",
            "33   15.0  3.000000   3.0         1.0        2.0       0.0  5.000000  3.000000  2.000000  1.000000  1.000000  2.00000   0.000000   8.000000  10.00000  12.000000       True      False  False   True      False       True        False         True      False       True         False        False        True          False         False         False        False        True          False         False           True        False         False              False            False             True           False          True          False       True       False     True     False          False            True        True        False      False        True        False          True         True         False\n",
            "34   16.0  3.000000   2.0         1.0        1.0       0.0  5.000000  4.000000  3.000000  1.000000  1.000000  5.00000   0.000000  12.000000  14.00000  15.000000       True      False  False   True      False       True         True        False      False       True         False        False        True          False         False         False        False        True          False         False          False         True         False              False            False             True           False          True          False      False        True    False      True           True           False        True        False      False        True        False          True         True         False\n",
            "35   15.0  2.000000   3.0         2.0        1.0       0.0  3.000000  5.000000  1.000000  1.000000  1.000000  5.00000   0.000000   8.000000   7.00000   6.000000       True      False   True  False      False       True         True        False      False       True         False        False        True          False         False         False        False        True          False         False          False        False          True              False             True            False           False          True          False      False        True     True     False          False            True       False         True      False        True         True         False         True         False\n",
            "36   15.0  4.000000   3.0         1.0        3.0       0.0  5.000000  4.000000  3.000000  1.000000  1.000000  4.00000   2.000000  15.000000  16.00000  18.000000       True      False  False   True      False       True        False         True      False       True         False        False       False          False          True         False        False       False           True         False          False         True         False              False            False             True           False          True          False      False        True     True     False          False            True       False         True      False        True        False          True         True         False\n",
            "37   16.0  4.000000   4.0         2.0        3.0       0.0  2.000000  4.000000  3.000000  1.000000  1.000000  5.00000   7.000000  15.000000  16.00000  15.000000       True      False  False   True       True      False         True        False       True      False         False        False        True          False         False         False        False       False          False          True          False        False         False               True            False             True           False          True          False      False        True     True     False          False            True       False         True      False        True        False          True        False          True\n",
            "38   15.0  3.000000   4.0         1.0        3.0       0.0  4.000000  3.000000  2.000000  1.000000  1.000000  5.00000   2.000000  12.000000  12.00000  11.000000       True      False   True  False       True      False         True        False      False       True         False        False       False           True         False         False         True       False          False         False           True        False         False              False            False             True           False         False           True      False        True    False      True          False            True       False         True      False        True        False          True         True         False\n",
            "39   15.0  2.000000   2.0         1.0        1.0       0.0  4.000000  3.000000  1.000000  1.476923  1.000000  2.00000   8.000000  14.000000  13.00000  13.000000       True      False   True  False       True      False         True        False      False       True          True        False       False          False         False         False        False        True          False         False          False        False         False               True            False             True           False         False           True      False        True    False      True          False            True       False         True      False        True         True         False         True         False\n",
            "40   16.0  2.000000   2.0         2.0        2.0       1.0  3.000000  3.000000  3.000000  1.000000  2.000000  3.00000  25.000000   7.000000  10.00000  11.000000       True      False   True  False      False       True        False         True      False       True         False        False        True          False         False         False        False        True          False         False          False         True         False              False            False             True           False          True          False      False        True     True     False          False            True        True        False      False        True        False          True        False          True\n",
            "41   15.0  4.000000   4.0         1.0        1.0       0.0  5.000000  4.000000  3.000000  2.000000  4.000000  5.00000   8.000000  12.000000  12.00000  12.000000       True      False  False   True      False       True        False         True      False       True         False        False       False          False          True         False        False        True          False         False          False         True         False              False            False            False            True          True          False      False        True     True     False           True           False        True        False      False        True        False          True        False          True\n",
            "42   15.0  4.000000   4.0         1.0        2.0       0.0  4.000000  3.000000  3.000000  1.000000  1.000000  5.00000   2.000000  19.000000  18.00000  18.000000       True      False  False   True      False       True         True        False      False       True         False        False       False           True         False         False        False       False          False          True           True        False         False              False             True            False           False          True          False      False        True     True     False          False            True       False         True      False        True        False          True         True         False\n",
            "43   15.0  2.000000   2.0         1.0        1.0       0.0  5.000000  4.000000  1.000000  1.000000  1.000000  1.00000   0.000000   8.000000   8.00000  11.000000       True      False  False   True      False       True         True        False      False       True         False        False       False           True         False         False        False       False           True         False           True        False         False              False             True            False           False         False           True      False        True     True     False           True           False       False         True      False        True        False          True         True         False\n",
            "44   16.0  2.000000   2.0         2.0        2.0       1.0  4.000000  3.000000  3.000000  2.000000  2.000000  5.00000  14.000000  10.000000  10.00000   9.000000       True      False   True  False      False       True        False         True      False       True         False        False        True          False         False          True        False       False          False         False           True        False         False              False             True            False           False         False           True       True       False     True     False          False            True       False         True      False        True        False          True         True         False\n",
            "45   15.0  4.000000   3.0         1.0        2.0       0.0  5.000000  2.000000  2.000000  1.000000  1.000000  5.00000   8.000000   8.000000   8.00000   6.000000       True      False   True  False      False       True        False         True       True      False         False        False        True          False         False         False        False        True          False         False           True        False         False              False            False             True           False         False           True      False        True    False      True          False            True       False         True      False        True        False          True        False          True\n",
            "46   16.0  3.000000   3.0         1.0        2.0       0.0  2.000000  3.000000  5.000000  1.000000  4.000000  3.00000  12.000000  11.000000  12.00000  11.000000       True      False   True  False      False       True        False         True       True      False         False        False        True          False         False         False        False       False           True         False          False         True         False              False            False             True           False          True          False      False        True     True     False           True           False       False         True      False        True        False          True         True         False\n",
            "47   16.0  4.000000   3.0         1.0        4.0       0.0  4.000000  2.000000  2.000000  1.000000  1.000000  2.00000   4.000000  19.000000  19.00000  20.000000       True      False  False   True      False       True         True        False      False       True         False         True       False          False         False         False        False       False           True         False          False        False         False               True            False             True           False          True          False       True       False     True     False          False            True       False         True      False        True        False          True         True         False\n",
            "48   15.0  4.000000   2.0         1.0        2.0       0.0  4.000000  3.000000  3.000000  2.000000  2.000000  5.00000   2.000000  15.000000  15.00000  14.000000       True      False  False   True      False       True         True        False      False       True         False        False       False          False          True         False        False        True          False         False          False         True         False              False            False             True           False          True          False      False        True    False      True           True           False       False         True      False        True         True         False         True         False\n",
            "49   15.0  4.000000   4.0         1.0        2.0       1.0  4.000000  4.000000  4.000000  1.000000  1.000000  3.00000   2.000000   7.000000   7.00000   7.000000       True      False   True  False      False       True         True        False      False       True         False        False       False           True         False         False        False       False          False          True          False        False          True              False             True            False           False         False           True      False        True     True     False          False            True        True        False      False        True        False          True         True         False\n",
            "50   16.0  2.000000   2.0         3.0        2.0       0.0  4.000000  3.000000  3.000000  2.000000  2.294872  4.00000   2.000000  12.000000  13.00000  13.000000       True      False   True  False      False       True        False         True      False       True         False        False       False           True         False         False        False       False           True         False           True        False         False              False            False             True           False          True          False      False        True    False      True           True           False       False         True      False        True        False          True         True         False\n",
            "51   15.0  4.000000   2.0         1.0        2.0       0.0  4.000000  3.000000  3.000000  1.000000  1.000000  5.00000   2.000000  11.000000  13.00000  13.000000       True      False   True  False      False       True        False         True      False       True         False         True       False          False         False         False        False        True          False         False          False        False          True              False            False             True           False          True          False      False        True    False      True           True           False       False         True      False        True        False          True         True         False\n",
            "52   15.0  4.000000   2.0         2.0        1.0       1.0  5.000000  5.000000  5.000000  3.000000  4.000000  5.00000   6.000000  11.000000  11.00000  10.000000       True      False  False   True      False       True        False         True       True      False         False         True       False          False         False         False         True       False          False         False          False        False          True              False             True            False           False          True          False       True       False     True     False           True           False       False         True      False        True         True         False         True         False\n",
            "53   15.0  4.000000   4.0         1.0        1.0       0.0  3.000000  3.000000  4.000000  2.000000  3.000000  5.00000   0.000000   8.000000  10.00000  11.000000       True      False   True  False      False       True         True        False      False       True         False        False       False           True         False         False        False       False           True         False           True        False         False              False            False             True           False         False           True      False        True    False      True           True           False       False         True      False        True        False          True         True         False\n",
            "54   15.0  3.000000   3.0         1.0        1.0       0.0  5.000000  3.000000  4.000000  4.000000  4.000000  1.00000   6.000000  10.000000  13.00000  13.000000       True      False   True  False      False       True        False         True       True      False         False        False        True          False         False         False        False        True          False         False          False        False          True              False            False             True           False          True          False       True       False    False      True           True           False       False         True      False        True        False          True         True         False\n",
            "55   16.0  2.000000   1.0         1.0        2.0       0.0  5.000000  3.000000  4.000000  1.000000  1.000000  2.00000   8.000000   8.000000   9.00000  10.000000       True      False   True  False      False       True         True        False       True      False         False        False        True          False         False         False        False        True          False         False          False        False          True              False            False             True           False          True          False       True       False    False      True          False            True       False         True      False        True        False          True        False          True\n",
            "56   15.0  4.000000   3.0         1.0        2.0       0.0  4.000000  3.000000  2.000000  1.000000  1.000000  1.00000   0.000000  14.000000  15.00000  15.000000       True      False   True  False      False       True         True        False       True      False         False        False       False           True         False         False        False       False           True         False          False        False         False               True            False             True           False          True          False      False        True    False      True          False            True       False         True      False        True        False          True         True         False\n",
            "57   15.0  4.000000   4.0         1.0        2.0       0.0  3.000000  2.000000  2.000000  1.000000  1.000000  5.00000   4.000000  14.000000  15.00000  15.000000       True      False  False   True      False       True         True        False      False       True         False        False       False          False          True         False         True       False          False         False          False        False         False               True            False             True           False          True          False      False        True     True     False          False            True       False         True      False        True         True         False         True         False\n",
            "58   15.0  1.000000   2.0         1.0        2.0       0.0  4.000000  3.000000  2.000000  1.000000  1.000000  5.00000   2.000000   9.000000  10.00000   9.000000       True      False  False   True      False       True        False         True      False       True         False        False        True          False         False          True        False       False          False         False          False         True         False              False             True            False           False         False           True      False        True     True     False          False            True       False         True      False        True        False          True         True         False\n",
            "59   16.0  4.000000   2.0         1.0        2.0       0.0  4.000000  2.000000  3.000000  1.000000  1.000000  5.00000   2.000000  15.000000  16.00000  16.000000       True      False   True  False      False       True         True        False      False       True         False        False       False           True         False         False        False        True          False         False           True        False         False              False            False             True           False          True          False      False        True     True     False           True           False       False         True      False        True        False          True         True         False\n",
            "60   16.0  4.000000   4.0         1.0        2.0       0.0  2.000000  4.000000  4.000000  2.000000  3.000000  4.00000   6.000000  10.000000  11.00000  11.000000       True      False   True  False       True      False         True        False      False       True         False         True       False          False         False         False        False       False          False          True          False        False          True              False            False             True           False          True          False      False        True     True     False          False            True       False         True      False        True         True         False         True         False\n",
